,code,no_schools_in_building,ratings,status,rating
401,M528,1,[1.],Same,1.0
402,M540,1,[6.],Same,6.0
403,M812,1,[4.],Same,4.0
404,M814,1,[10.],Same,10.0
405,M876,1,[10.],Same,10.0
406,M898,1,[7.],Same,7.0
407,M918,1,[7.],Same,7.0
408,Q005,2,[10.],Same,10.0
409,Q007,2,[10.],Same,10.0
410,Q012,1,[8.],Same,8.0
411,Q013,1,[9.],Same,9.0
412,Q014,1,[8.],Same,8.0
413,Q019,1,[9.],Same,9.0
414,Q028,1,[10.],Same,10.0
415,Q049,1,[9.],Same,9.0
416,Q058,2,[10.],Same,10.0
417,Q061,1,[9.],Same,9.0
418,Q068,1,[5.],Same,5.0
419,Q071,1,[1.],Same,1.0
420,Q073,1,[5.],Same,5.0
421,Q087,1,[9.],Same,9.0
422,Q088,2,[7.],Same,7.0
423,Q089,1,[8.],Same,8.0
424,Q091,1,[9.],Same,9.0
425,Q093,2,[5.],Same,5.0
426,Q102,1,[9.],Same,9.0
427,Q113,1,[9.],Same,9.0
428,Q119,1,[9.],Same,9.0
429,Q125,1,[9.],Same,9.0
430,Q143,1,[7.],Same,7.0
431,Q153,1,[9.],Same,9.0
432,Q229,1,[5.],Same,5.0
433,Q239,2,[10.],Same,10.0
434,Q245,1,[10.],Same,10.0
435,Q247,2,[10.],Same,10.0
436,Q260,2,[10.],Same,10.0
437,Q287,1,[10.],Same,10.0
438,Q290,2,[10.],Same,10.0
439,Q298,1,[10.],Same,10.0
440,Q311,2,[10.],Same,10.0
441,Q313,1,[10.],Same,10.0
442,Q315,2,[10.],Same,10.0
443,Q320,1,[nan],Same,
444,Q485,2,[6.],Same,6.0
445,Q520,2,[10.],Same,10.0
446,Q585,2,[10.],Same,10.0
447,Q600,1,[9.],Same,9.0
448,Q610,1,[6.],Same,6.0
449,Q721,1,[10.],Same,10.0
450,Q722,1,[10.],Same,10.0
451,Q735,3,[10.],Same,10.0
452,Q744,4,[10.],Same,10.0
453,Q873,1,[5.],Same,5.0
454,Q891,1,[10.],Same,10.0
455,Q020,1,[8.],Same,8.0
456,Q021,1,[8.],Same,8.0
457,Q024,1,[8.],Same,8.0
458,Q025,3,[9.],Same,9.0
459,Q029,1,[9.],Same,9.0
460,Q079,1,[1.],Same,1.0
461,Q107,1,[9.],Same,9.0
462,Q120,1,[7.],Same,7.0
463,Q129,1,[8.],Same,8.0
464,Q163,1,[9.],Same,9.0
465,Q168,3,[9.],Same,9.0
466,Q185,1,[4.],Same,4.0
467,Q237,2,[6.],Same,6.0
468,Q242,1,[10.],Same,10.0
469,Q244,1,[10.],Same,10.0
470,Q336,1,[9.],Same,9.0
471,Q425,1,[7.],Same,7.0
472,Q499,2,[10.],Same,10.0
473,Q515,2,[10.],Same,10.0
474,Q046,1,[5.],Same,5.0
475,Q067,1,[8.],Same,8.0
476,Q074,1,[8.],Same,8.0
477,Q115,1,[4.],Same,4.0
478,Q130,2,[4.],Same,4.0
479,Q177,1,[1.],Same,1.0
480,Q186,2,[10.],Same,10.0
481,Q188,1,[8.],Same,8.0
482,Q191,2,[4.],Same,4.0
483,Q208,2,[10.],Same,10.0
484,Q213,2,[2.],Same,2.0
485,Q266,2,[10.],Same,10.0
486,Q332,1,[10.],Same,10.0
487,Q405,2,[8.],Same,8.0
488,Q415,2,[3.],Same,3.0
489,Q430,2,[9.],Same,9.0
490,Q435,2,[7.],Same,7.0
491,Q566,2,[10.],Same,10.0
492,Q811,1,[1.],Same,1.0
493,Q042,2,[8.],Same,8.0
494,Q043,2,[10.],Same,10.0
495,Q047,1,[8.],Same,8.0
496,Q051,1,[10.],Same,10.0
497,Q053,3,[8.],Same,8.0
498,Q060,1,[4.],Same,4.0
499,Q062,1,[9.],Same,9.0
500,Q063,1,[8.],Same,8.0
501,Q064,1,[9.],Same,9.0
502,Q097,1,[8.],Same,8.0
503,Q100,1,[9.],Same,9.0
504,Q108,1,[8.],Same,8.0
505,Q114,2,[1.],Same,1.0
506,Q124,1,[8.],Same,8.0
507,Q137,1,[10.],Same,10.0
508,Q180,1,[4.],Same,4.0
509,Q198,2,[4.],Same,4.0
510,Q202,2,[8.],Same,8.0
511,Q207,1,[1.],Same,1.0
512,Q210,1,[8.],Same,8.0
513,Q215,1,[1.],Same,1.0
514,Q223,1,[2.],Same,2.0
515,Q226,4,[8.],Same,8.0
516,Q232,1,[4.],Same,4.0
517,Q253,2,[9.],Same,9.0
518,Q254,2,[10.],Same,10.0
519,Q262,1,[10.],Same,10.0
520,Q273,1,[10.],Same,10.0
521,Q316,1,[10.],Same,10.0
522,Q335,2,[10.],Same,10.0
523,Q400,4,[9.],Same,9.0
524,Q410,5,[8.],Same,8.0
525,Q480,1,[9.],Same,9.0
526,Q650,2,[10.],Same,10.0
527,Q884,1,[9.],Same,9.0
528,Q003,1,[nan],Same,
529,Q008,3,[3.],Same,3.0
530,Q050,1,[9.],Same,9.0
531,Q072,3,[8.],Same,8.0
532,Q080,1,[2.],Same,2.0
533,Q082,1,[9.],Same,9.0
534,Q117,1,[8.],Same,8.0
535,Q139,2,[7.],Same,7.0
536,Q142,2,[7.],Same,7.0
537,Q144,1,[9.],Same,9.0
538,Q161,2,[10.],Same,10.0
539,Q175,1,[9.],Same,9.0
540,Q190,2,[9.],Same,9.0
541,Q196,1,[9.],Same,9.0
542,Q217,1,[4.],Same,4.0
543,Q276,2,[10.],Same,10.0
544,Q277,2,[10.],Same,10.0
545,Q314,3,[10.],Same,10.0
546,Q440,1,[5.],Same,5.0
547,Q505,1,[6.],Same,6.0
548,Q620,2,[3.],Same,3.0
549,Q680,1,[4.],Same,4.0
550,Q686,3,[10.],Same,10.0
551,Q690,2,[10.],Same,10.0
552,Q695,2,[10.],Same,10.0
553,Q774,1,[10.],Same,10.0
554,Q015,1,[8.],Same,8.0
555,Q033,1,[6.],Same,6.0
556,Q035,2,[10.],Same,10.0
557,Q059,2,[9.],Same,9.0
558,Q131,1,[4.],Same,4.0
559,Q135,1,[8.],Same,8.0
560,Q138,2,[7.],Same,7.0
561,Q147,2,[3.],Same,3.0
562,Q238,1,[8.],Same,8.0
563,Q263,2,[10.],Same,10.0
564,Q268,2,[10.],Same,10.0
565,Q270,2,[10.],Same,10.0
566,Q420,4,[1.],Same,1.0
567,Q490,4,[7.],Same,7.0
568,Q633,1,[1.],Same,1.0
569,Q002,1,[1.],Same,1.0
570,Q011,1,[10.],Same,10.0
571,Q017,2,[1.],Same,1.0
572,Q069,1,[8.],Same,8.0
573,Q070,1,[9.],Same,9.0
574,Q112,1,[8.],Same,8.0
575,Q145,1,[9.],Same,9.0
576,Q148,1,[6.],Same,6.0
577,Q149,1,[7.],Same,7.0
578,Q150,1,[8.],Same,8.0
579,Q152,1,[8.],Same,8.0
580,Q166,1,[7.],Same,7.0
581,Q212,1,[10.],Same,10.0
582,Q222,1,[10.],Same,10.0
583,Q227,2,[8.],Same,8.0
584,Q228,1,[10.],Same,10.0
585,Q230,1,[10.],Same,10.0
586,Q234,2,[10.],Same,10.0
587,Q292,1,[9.],Same,9.0
588,Q297,1,[nan],Same,
589,Q312,2,[nan],Same,
590,Q339,1,[10.],Same,10.0
591,Q398,1,[nan],Same,
592,Q404,3,[10.],Same,10.0
593,Q452,2,[10.],Same,10.0
594,Q570,2,[10.],Same,10.0
595,Q667,1,[9.],Same,9.0
596,Q725,2,[10.],Same,10.0
597,Q739,1,[8.],Same,8.0
598,Q798,1,[10.],Same,10.0
599,Q868,1,[10.],Same,10.0
600,Q885,2,[9.],Same,9.0
601,Q972,1,[10.],Same,10.0
602,R003,1,[6.],Same,6.0
603,R004,2,[4.],Same,4.0
604,R005,1,[4.],Same,4.0
